id,name,category,quantity,retail_quantity,location,barcode,type,weight,carton_count,units_per_carton,flavor,carton_fraction,unit_type,wholesale_supplier_price,wholesale_sale_price,retail_sale_price,extra_retail_quantity,min_quantity
83,نخلة ليمون 100 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6224002273154,Wholesale / جملة,100g / 100 جم,7,27,ليمون,0,Wholesale / جملة,,,,0,
84,نخلة نعناع 100 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6224002273116,Wholesale / جملة,100g / 100 جم,5,27,نعناع,0,Wholesale / جملة,,,,0,
90,فاخر عنب توت 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223007093965,Wholesale / جملة,1kg / 1 كجم,0,6,عنب و توت,0.5,Wholesale / جملة,,,,0,
96,الكبير تفاح 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223007094238,Wholesale / جملة,1kg / 1 كجم,0,0,تفاح,0,Wholesale / جملة,,,,20,
98,الكبير فسدق 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223007094450,Wholesale / جملة,1kg / 1 كجم,0,0,فسدق,0,Wholesale / جملة,,,,5,
4,فحم الفاخر,Wholesale / جملة,0,,Store 2 / مخزن 2,6223007095259,Wholesale / جملة,1kg / 1 كجم,105,10,-,0,Wholesale / جملة,,,,,0
15,gنعناع مثلج مزايا 250,Retail / قطاعى,0,18,Store 2 / مخزن 2,6224010597570,Retail / قطاعى,250g / 250 جم,0,18,نعناع مثلج,,,,,,,
16,gدراق مزايا 250,Retail / قطاعى,0,14,Store 2 / مخزن 2,6224010597785,Retail / قطاعى,250g / 250 جم,0,14,دراق,,,,,,,
19,gليمون نعناع مثلج مزايا 250,Retail / قطاعى,0,4,Store 2 / مخزن 2,6224010597563,Retail / قطاعى,250g / 250 جم,0,4,ليمون نعناع مثلج,,,,,,,
22,gباور مكس مزايا 250,Retail / قطاعى,0,12,Store 2 / مخزن 2,6224010597334,Retail / قطاعى,250g / 250 جم,0,12,باور مكس,,,,,,,
25,gمانجو دراق مزايا 250,Retail / قطاعى,0,10,Store 2 / مخزن 2,6224010597600,Retail / قطاعى,250g / 250 جم,0,10,مانجو دراق,,,,,,,
26,gعلكة قرفة مزايا 250,Retail / قطاعى,0,2,Store 2 / مخزن 2,6224010597273,Retail / قطاعى,250g / 250 جم,0,2,علكة قرفة,,,,,,,
40,gعنب و توت مزايا 250,Retail / قطاعى,0,18,Store 2 / مخزن 2,6224010597556,Retail / قطاعى,250g / 250 جم,0,18,عنب و توت,,,,,,,
42,gفراولة كريمة مزايا 250,Retail / قطاعى,0,6,Store 2 / مخزن 2,6224010597587,Retail / قطاعى,250g / 250 جم,0,6,فراولة كريمة,,,,,,,
43,gعلكة بالنعناع مزايا 250,Retail / قطاعى,0,8,Store 2 / مخزن 2,6224010597204,Retail / قطاعى,250g / 250 جم,0,8,علكة بالنعناع,,,,,,,
56,gجولد عنب توت 250,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006582071,Wholesale / جملة,250g / 250 جم,1,3,عنب توت,0,Wholesale / جملة,,,,,
58,gجولد ميجا بيرى 250,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006581418,Wholesale / جملة,250g / 250 جم,1,2,ميجا بيرى,0,Wholesale / جملة,,,,,
59,سلوم شرقية 500 جم,Wholesale / جملة,0,,Store 2 / مخزن 2,6221004001389,Wholesale / جملة,500g / 500 جم,22,18,سلوم,0,Wholesale / جملة,,,,,
61,اسطورة سلوم 500 جم,Wholesale / جملة,0,,Store 2 / مخزن 2,6223006584365,Wholesale / جملة,500g / 500 جم,6,12.0,سلوم,0,Wholesale / جملة,,,,,
69,فحم الفاخر 500 جم,Wholesale / جملة,0,,Store 2 / مخزن 2,6223007095471,Wholesale / جملة,500g / 500 جم,4,20,,0,Wholesale / جملة,,,,,
70,قص اسطورة 100 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223006581982,Wholesale / جملة,100g / 100 جم,3,48,قص,0,Wholesale / جملة,,,,37,
72,دندش هادى فاخر 100 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223006581951,Wholesale / جملة,100g / 100 جم,3,25,,0,Wholesale / جملة,,,,0,
76,نخلة تفاح سطل معدن 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6224002273376,Wholesale / جملة,1kg / 1 كجم,3,12,تفاح,0,Wholesale / جملة,,,,0,
85,نخلة خوخ 100 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6224002273093,Wholesale / جملة,100g / 100 جم,3,27,خوخ,0,Wholesale / جملة,,,,0,
86,نخلة كنتالوب 100 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6224002273130,Wholesale / جملة,100g / 100 جم,5,27,كنتالوب,0,Wholesale / جملة,,,,0,
88,فاخر عنب 1000 جم,Wholesale / جملة,0,4,Store 2 / مخزن 2,6223007090544,Wholesale / جملة,1kg / 1 كجم,0,0,عنب,0,Wholesale / جملة,,,,0,
91,فاخر اوشن 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223007095402,Wholesale / جملة,1kg / 1 كجم,0,0,اوشن,0,Wholesale / جملة,,,,1,
94,فاخر عنب نعناع 1000 جم,Wholesale / جملة,0,0,Store 2 / مخزن 2,6223007090551,Wholesale / جملة,1kg / 1 كجم,0,0,عنب نعناع,0,Wholesale / جملة,,,,2,
1,gفحم الصفوة 750,Wholesale / جملة,10,,Store 2 / مخزن 2,6.22401E+12,Wholesale / جملة,750g / 750 جم,10,,,,,,,,,0
2,gفحم الصفوة150,Wholesale / جملة,5,,Store 2 / مخزن 2,6.22401E+12,Wholesale / جملة,150g / 150 جم,5,,,,,,,,,0
6,gمزايا كابتن فريش 250,Wholesale / جملة,0,18,Store 2 / مخزن 2,6.22401E+12,Wholesale / جملة,250g / 250 جم,0,18,,,,,,,,
13,gتفاحتين مزايا 250,Retail / قطاعى,0,2,Store 2 / مخزن 2,6224010597235,Retail / قطاعى,250g / 250 جم,0,2,تفاحتين,,,,,,,
24,gتفاحتين بحرينى مزايا 250,Retail / قطاعى,0,10,Store 2 / مخزن 2,6224010597631,Retail / قطاعى,250g / 250 جم,0,10,تفاحتين بحرينى,,,,,,,
29,gكيوى مزايا 250,Retail / قطاعى,0,12,Store 2 / مخزن 2,6224010597686,Retail / قطاعى,250g / 250 جم,0,12,كيوى,,,,,,,
